,First,Second,Third
98,"(85, ('2019 Ford F-350 XL', 'Ford F-350 SD'))","(87, ('2019 Ford F-350 XL', 'Ford F-350 SD XLT'))","(90, ('2019 Ford F-350 XL', 'Ford F-350 SD XL'))"
99,"(84, ('2019 Ford F-350 XLT', 'Ford F-250 SD XLT'))","(87, ('2019 Ford F-350 XLT', 'Ford F-350 SD XL'))","(90, ('2019 Ford F-350 XLT', 'Ford F-350 SD XLT'))"
100,"(81, ('2019 Ford F-450 XL', 'Ford F-150 FX4'))","(83, ('2019 Ford F-450 XL', 'Ford F-250 SD XL'))","(83, ('2019 Ford F-450 XL', 'Ford F-350 SD XL'))"
101,"(78, ('2019 Ford Fusion Hybrid SE', 'Ford Fusion SEL'))","(80, ('2019 Ford Fusion Hybrid SE', 'Ford Fusion SE'))","(84, ('2019 Ford Fusion Hybrid SE', 'Ford Fusion Plug-In Hybrid SE'))"
102,"(72, ('2019 Ford Mustang EcoBoost', 'Ford Mustang GT'))","(73, ('2019 Ford Mustang EcoBoost', 'Ford Mustang'))","(73, ('2019 Ford Mustang EcoBoost', 'Ford Mustang Bullitt'))"
103,"(61, ('2019 Ford Mustang EcoBoost Premium', 'Ford Mustang Bullitt'))","(81, ('2019 Ford Mustang EcoBoost Premium', 'Ford Mustang GT Premium'))","(82, ('2019 Ford Mustang EcoBoost Premium', 'Ford Mustang Premium'))"
104,"(58, ('2019 Ford Ranger LARIAT', 'Dodge Challenger R/T'))","(58, ('2019 Ford Ranger LARIAT', 'Ford Edge SEL'))","(61, ('2019 Ford Ranger LARIAT', 'Ford Mustang GT'))"
105,"(61, ('2019 Ford Ranger Lariat', 'Ford Edge Sport'))","(63, ('2019 Ford Ranger Lariat', 'Ford F-250 SD Lariat'))","(63, ('2019 Ford Ranger Lariat', 'Ford F-350 SD Lariat'))"
106,"(64, ('2019 Ford Ranger STX', 'Ford Escape S'))","(67, ('2019 Ford Ranger STX', 'Ford Edge SE'))","(67, ('2019 Ford Ranger STX', 'Ford Mustang GT'))"
107,"(62, ('2019 Ford Ranger XL', 'Ford Taurus SEL'))","(65, ('2019 Ford Ranger XL', 'Ford Explorer XLT'))","(67, ('2019 Ford Ranger XL', 'Ford Edge SEL'))"
108,"(64, ('2019 Ford Ranger XLT', 'Ford Edge SEL'))","(67, ('2019 Ford Ranger XLT', 'Ford Mustang GT'))","(69, ('2019 Ford Ranger XLT', 'Ford Explorer XLT'))"
109,"(58, ('2019 Ford Transit-150 Base', 'Ford F-150 Raptor'))","(62, ('2019 Ford Transit-150 Base', 'Ford Transit Connect XLT'))","(64, ('2019 Ford Transit-150 Base', 'Ford Transit Connect XL'))"
110,"(46, ('2019 Ford Transit-250 130 WB Medium Roof Cargo', 'Ford Transit Connect XLT'))","(47, ('2019 Ford Transit-250 130 WB Medium Roof Cargo', 'Ford Transit Connect XL'))","(49, ('2019 Ford Transit-250 130 WB Medium Roof Cargo', 'Ford Transit Connect Titanium'))"
111,"(46, ('2019 Ford Transit-250 148 WB Medium Roof Cargo', 'Ford Transit Connect XLT'))","(47, ('2019 Ford Transit-250 148 WB Medium Roof Cargo', 'Ford Transit Connect XL'))","(49, ('2019 Ford Transit-250 148 WB Medium Roof Cargo', 'Ford Transit Connect Titanium'))"
112,"(59, ('2019 Ford Transit-250 Base', 'Ford F-250 SD'))","(62, ('2019 Ford Transit-250 Base', 'Ford Transit Connect XLT'))","(64, ('2019 Ford Transit-250 Base', 'Ford Transit Connect XL'))"
113,"(69, ('2019 Ford Transit-350 XL', 'Ford F-350 SD XL'))","(70, ('2019 Ford Transit-350 XL', 'Ford Transit Connect XLT'))","(71, ('2019 Ford Transit-350 XL', 'Ford Transit Connect XL'))"
