name,price,city_mpg,highway_mpg
2019 Nissan Armada SL,48269.0,14.0,19.0
2019 Nissan Armada SV,42742.0,13.0,18.0
2019 Nissan Frontier S,23440.0,19.0,23.0
2019 Nissan Frontier SV,28880.0,16.0,23.0
2019 Nissan Kicks S,18735.666666666668,31.0,36.0
2019 Nissan Kicks SR,22101.9,31.0,36.0
2019 Nissan Kicks SV,19412.46875,31.0,36.0
2019 Nissan Leaf S PLUS,37840.0,118.0,97.0
2019 Nissan Leaf SL,36628.0,124.0,99.0
2019 Nissan Leaf SL PLUS,39470.0,114.0,94.0
2019 Nissan Leaf SV,33847.0,124.0,99.0
2019 Nissan Maxima 3.5 SL,32356.0,20.0,30.0
2019 Nissan Maxima 3.5 SV,30898.0,20.0,30.0
2019 Nissan Murano Platinum,38514.833333333336,20.0,28.0
2019 Nissan Murano S,28169.0,20.0,28.0
2019 Nissan Murano SL,36645.0,20.0,28.0
2019 Nissan Murano SV,32276.466666666667,20.0,28.0
2019 Nissan NV Cargo NV1500 S V6,29504.0,0.0,0.0
2019 Nissan NV Cargo NV3500 HD SV V8,36611.0,0.0,0.0
2019 Nissan NV200 S,21091.0,24.0,26.0
2019 Nissan Pathfinder Platinum,43509.0,20.0,27.0
2019 Nissan Pathfinder S,34700.0,20.0,27.0
2019 Nissan Rogue SV,24504.0,26.0,33.0
2019 Nissan Rogue Sport S,20591.0,25.0,32.0
2019 Nissan Rogue Sport SL,29430.0,25.0,32.0
2019 Nissan Rogue Sport SV,25134.0,25.0,32.0
2019 Nissan Sentra SR,21213.0,29.0,37.0
2019 Nissan Titan Platinum Reserve,55780.0,15.0,21.0
2019 Nissan Titan S,43731.0,15.0,21.0
2019 Nissan Titan SL,44385.0,15.0,21.0
2019 Nissan Titan SV,42844.25,15.0,21.0
2019 Nissan Titan XD Platinum Reserve,58995.0,0.0,0.0
2019 Nissan Titan XD SV,45954.5,0.0,0.0
2019 Nissan Versa 1.6 S+,13237.9,31.0,39.0
2019 Nissan Versa 1.6 SV,14984.0,31.0,39.0
2019 Nissan Versa S,11691.333333333334,27.0,36.0
2019 Nissan Versa SV,14788.0,31.0,39.0
2019 Porsche Cayenne Base,80590.0,19.0,23.0
2019 RAM 1500 Big Horn,37942.75,19.0,24.0
2019 RAM 1500 Classic Express,31658.0,0.0,0.0
2019 RAM 1500 Classic SLT,32847.0,15.0,22.0
2019 RAM 1500 Classic Tradesman,37637.0,17.0,25.0
2019 RAM 1500 Classic Warlock,31961.0,0.0,0.0
2019 RAM 1500 Laramie,47959.5,20.0,25.0
2019 RAM 1500 Limited,66355.0,19.0,24.0
2019 RAM 1500 Rebel,46116.5,19.0,24.0
2019 RAM 1500 Tradesman,32981.5,19.0,24.0
2019 RAM 2500 Big Horn,58460.666666666664,0.0,0.0
2019 RAM 2500 Laramie,65504.47457627119,0.0,0.0
2019 RAM 2500 Limited,73399.625,0.0,0.0
2019 RAM 2500 Longhorn,71524.71428571429,0.0,0.0
2019 RAM 2500 Power Wagon,59396.666666666664,0.0,0.0
2019 RAM 2500 Tradesman,47748.45,0.0,0.0
2019 RAM 3500 Big Horn,58013.25,0.0,0.0
2019 RAM 3500 Laramie,73351.32,0.0,0.0
2019 RAM 3500 Limited,71625.33333333333,0.0,0.0
2019 RAM 3500 Lone Star,65910.0,0.0,0.0
2019 RAM 3500 Longhorn,74680.5,0.0,0.0
2019 RAM 3500 Tradesman,53618.0,0.0,0.0
2019 RAM High Roof,35068.5,0.0,0.0
2019 RAM Laramie,64278.0,0.0,0.0
2019 RAM Longhorn,48739.0,0.0,0.0
2019 RAM Low Roof,40834.0,0.0,0.0
2019 RAM ProMaster 1500 Base,33934.0,0.0,0.0
2019 RAM ProMaster 1500 Low Roof,33881.5,0.0,0.0
2019 RAM ProMaster 2500 High Roof,34529.5,0.0,0.0
2019 RAM ProMaster 3500 High Roof,39178.05882352941,0.0,0.0
2019 RAM ProMaster 3500 Window Van High Roof,42205.0,0.0,0.0
2019 RAM ProMaster City Tradesman,24023.083333333332,21.0,28.0
2019 Rolls-Royce Phantom,544500.0,0.0,0.0
2019 Subaru Crosstrek 2.0i Limited,29140.0,27.0,33.0
2019 Subaru Crosstrek 2.0i Premium,26587.0,23.0,29.0
2019 Subaru Impreza 2.0i Sport,27534.0,0.0,0.0
2019 Subaru Legacy 2.5i Limited,32511.0,25.0,34.0
2019 Subaru Outback 2.5i Limited,36876.0,25.0,32.0
2019 Subaru Outback 3.6R Limited,36385.0,20.0,27.0
2019 Toyota 4Runner Limited,43623.0,17.0,20.0
2019 Toyota 4Runner Limited Nightshade,46192.0,17.0,21.0
2019 Toyota 4Runner SR5 Premium,38142.0,17.0,20.0
2019 Toyota Avalon Touring,38994.0,22.0,31.0
2019 Toyota C-HR XLE,22853.0,27.0,31.0
2019 Toyota Camry Hybrid LE,30193.0,51.0,53.0
